source,target,weight,sourceArea,sourceCategory,targetArea,targetCategory
1777,1454,9,4,5,3,1
525,12,1,0,2,1,0
517,1324,9,3,0,1,0
517,1387,11,3,3,1,0
517,1652,13,4,2,1,0
517,2198,13,4,1,1,0
517,2050,3,1,0,4,3
582,2050,10,1,3,4,3
517,1374,7,3,3,1,0
552,1374,15,3,3,1,0
552,1387,15,3,3,1,0
552,1652,30,4,2,1,0
552,2198,36,4,1,1,0
1516,1387,22,3,3,3,4
1516,2198,40,4,1,3,4
517,1454,1,3,1,1,0
512,130,1,0,0,1,0
512,567,1,1,0,1,0
512,585,1,1,3,1,0
512,986,1,2,3,1,0
1652,130,8,4,2,0,0
1652,567,2,4,2,1,0
1652,986,5,4,2,2,3
430,300,1,0,1,1,2
430,1175,1,3,2,1,2
430,1324,1,3,0,1,2
430,1454,1,3,1,1,2
430,2198,1,4,1,1,2
412,139,3,0,0,1,2
412,194,3,0,0,1,2
412,594,3,1,3,1,2
412,718,3,1,4,1,2
582,139,8,1,3,0,0
582,594,20,1,3,1,3
277,139,10,0,1,0,0
277,194,8,0,1,0,0
277,718,6,1,4,0,1
277,2201,2,0,1,4,1
412,216,1,0,3,1,2
412,2201,1,4,1,1,2
360,66,1,0,2,1,2
360,401,1,1,2,1,2
360,1068,1,2,1,1,2
360,2239,1,1,2,4,1
594,66,9,1,3,0,2
594,401,3,1,3,1,2
594,1068,9,2,1,1,3
594,2239,1,1,3,4,1
300,277,2,0,1,0,1
300,605,1,1,3,0,1
300,975,2,2,3,0,1
300,1387,2,3,3,0,1
604,277,7,0,1,1,3
604,605,3,1,3,1,3
604,975,4,2,3,1,3
604,1387,8,3,3,1,3
300,200,1,0,1,0,3
582,277,18,1,3,0,1
54,151,1,0,2,0,0
54,204,1,0,2,0,3
54,656,1,1,1,0,2
54,718,1,1,4,0,2
2049,151,2,4,3,0,0
2049,204,2,4,3,0,3
2049,656,2,4,3,1,1
2049,718,2,1,4,4,3
2199,1772,2,4,1,4,5
2199,2051,1,4,1,4,3
2390,582,6,1,3,4,4
2390,1772,2,4,5,4,4
2390,2051,1,4,4,4,3
2390,2198,6,4,1,4,4
